hashtag,tweet_id
NewGirl,5.561429895341834e+17
debatenight,7.889167333902254e+17
Debate,7.889167333902254e+17
ImTooOldFor,7.905478908171715e+17
breaking,7.655626400682844e+17
NeverTrump,7.95903398314967e+17
IfIWonTheElection,7.95903398314967e+17
ImWitHer,7.95903398314967e+17
FearMonger,8.012402427244093e+17
ThingsToDoInAWaitingRoom,7.61142188281516e+17
Blacklivesmatter,7.78630642166698e+17
IHaveGeekCredBecause,6.062850577670103e+17
MillennialSportsTeams,7.887955435395727e+17
Israel,9.069262006475448e+17
MakeAmericaGreatAgain,7.595069249037517e+17
article50bill,8.391919500874752e+17
TopNews,7.583953722175652e+17
OscarsSoWhite,7.041557320070636e+17
WakeUpAmerica,7.890873738124329e+17
tcot,7.890873738124329e+17
pjnet,7.890873738124329e+17
maga,7.890873738124329e+17
FishTV,7.788936676878582e+17
rednationrising,7.768462240203653e+17
TrumpBecause,6.318714412694692e+17
generalstrike,8.264012048717701e+17
